职位标题,职位链接
AI大模型标注,http://www.zhaopin.com/jobdetail/CCL1272782040J40794580214.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
AI内容社群运营,http://www.zhaopin.com/jobdetail/CC383625320J40819835109.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
AI智能产品经理-财经,http://www.zhaopin.com/jobdetail/CC469217510J40816717201.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
AI 智能体研发工程师,http://www.zhaopin.com/jobdetail/CC698750120J40831124914.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
美团闪购-AI应用产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40819848009.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
AI数据标注-编译,http://www.zhaopin.com/jobdetail/CCL1500606270J40832924214.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
ai数据标注/评估,http://www.zhaopin.com/jobdetail/CCL1272782040J40823465414.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
国内专利工程师（AI/深度学习/图像处理相关）,http://www.zhaopin.com/jobdetail/CC586096120J40744732016.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
AI语音标注,http://www.zhaopin.com/jobdetail/CC385622410J40743663706.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
AI高级开发工程师,http://www.zhaopin.com/jobdetail/CC120702340J40832885314.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
大模型应用-软件工程师（对话式AI/多模态交互/Agent）,http://www.zhaopin.com/jobdetail/CC383625320J40748802909.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
人工智能AI应用负责人,http://www.zhaopin.com/jobdetail/CC153465920J40816338809.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
葡语ai翻译【头部大厂，全额五险一金】,http://www.zhaopin.com/jobdetail/CCL1254757260J40828994905.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
产品视觉设计师（AI 方向）,http://www.zhaopin.com/jobdetail/CC383625320J40702658609.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
AI大模型课程讲师【高职院校】,http://www.zhaopin.com/jobdetail/CC120116920J40957687904.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
下沉市场 - AI应用产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40740832109.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
AI 预训练数据源扩展工程师-数据采集,http://www.zhaopin.com/jobdetail/CC637366030J40743188306.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
高级后端研发工程师-AI方向,http://www.zhaopin.com/jobdetail/CC705057820J40803413301.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
AI搜索方向_业务研发工程师-实习JD,http://www.zhaopin.com/jobdetail/CC383625320J40766359909.htm?refcode=4019&srccode=401903&preactionid=0dba1420-af71-4c94-9477-a81fc2fae0e0
测试工程师（测试开发 ai方向）,http://www.zhaopin.com/jobdetail/CC138117190J40834031905.htm?refcode=4019&srccode=401903&preactionid=de250f09-87c1-40ca-a168-e6b96453b019
深度学习/机器学习/大模型/AI,http://www.zhaopin.com/jobdetail/CCL1480117890J40831716205.htm?refcode=4019&srccode=401903&preactionid=de250f09-87c1-40ca-a168-e6b96453b019
下沉市场 - AI应用产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40740832109.htm?refcode=4019&srccode=401903&preactionid=de250f09-87c1-40ca-a168-e6b96453b019
AI高级研发工程师,http://www.zhaopin.com/jobdetail/CC599092820J40973186904.htm?refcode=4019&srccode=401903&preactionid=de250f09-87c1-40ca-a168-e6b96453b019
AI图像算法工程师,http://www.zhaopin.com/jobdetail/CCL1242920560J40861671908.htm?refcode=4019&srccode=401903&preactionid=de250f09-87c1-40ca-a168-e6b96453b019
产品视觉设计师（AI 方向）,http://www.zhaopin.com/jobdetail/CC383625320J40702658609.htm?refcode=4019&srccode=401903&preactionid=de250f09-87c1-40ca-a168-e6b96453b019
Agent评测-大模型AI训练师,http://www.zhaopin.com/jobdetail/CCL1480117890J40826132705.htm?refcode=4019&srccode=401903&preactionid=de250f09-87c1-40ca-a168-e6b96453b019
AI应用开发工程师,http://www.zhaopin.com/jobdetail/CC000133900J40829609505.htm?refcode=4019&srccode=401903&preactionid=de250f09-87c1-40ca-a168-e6b96453b019
大模型应用-软件工程师（对话式AI/多模态交互/Agent）,http://www.zhaopin.com/jobdetail/CC383625320J40748802909.htm?refcode=4019&srccode=401903&preactionid=de250f09-87c1-40ca-a168-e6b96453b019
AI后端开发,http://www.zhaopin.com/jobdetail/CC138117190J40834056905.htm?refcode=4019&srccode=401903&preactionid=de250f09-87c1-40ca-a168-e6b96453b019
大模型AI训练师-通用英文,http://www.zhaopin.com/jobdetail/CCL1480117890J40813038105.htm?refcode=4019&srccode=401903&preactionid=de250f09-87c1-40ca-a168-e6b96453b019
