职位标题,职位链接
五险一金+机器人AI数据采集+管三餐,http://www.zhaopin.com/jobdetail/CC629673980J40820144209.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
数据标注AI写作方向,http://www.zhaopin.com/jobdetail/CC443657520J40822457809.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
AI自动评估（六险双休）,http://www.zhaopin.com/jobdetail/CC385622410J40743685906.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
Golong开发+AI,http://www.zhaopin.com/jobdetail/CC840683300J40813219611.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
AI内容社群运营,http://www.zhaopin.com/jobdetail/CC383625320J40819835109.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
AI数据标注-编译,http://www.zhaopin.com/jobdetail/CCL1500606270J40832924214.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
ai数据标注/评估,http://www.zhaopin.com/jobdetail/CCL1272782040J40823465414.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
国内专利工程师（AI/深度学习/图像处理相关）,http://www.zhaopin.com/jobdetail/CC586096120J40744732016.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
AI语音标注,http://www.zhaopin.com/jobdetail/CC385622410J40743663706.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
AI大模型标注,http://www.zhaopin.com/jobdetail/CCL1272782040J40794580214.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
AI智能产品经理-财经,http://www.zhaopin.com/jobdetail/CC469217510J40816717201.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
美团闪购-AI应用产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40819848009.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
AI 智能体研发工程师,http://www.zhaopin.com/jobdetail/CC698750120J40831124914.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
AI高级开发工程师,http://www.zhaopin.com/jobdetail/CC120702340J40832885314.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
AI与前沿科技战略专家,http://www.zhaopin.com/jobdetail/CC383625320J40779492609.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
人工智能AI应用负责人,http://www.zhaopin.com/jobdetail/CC153465920J40816338809.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
葡语ai翻译【头部大厂，全额五险一金】,http://www.zhaopin.com/jobdetail/CCL1254757260J40828994905.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
AI 预训练数据源扩展工程师-数据采集,http://www.zhaopin.com/jobdetail/CC637366030J40743188306.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
AI大模型课程讲师【高职院校】,http://www.zhaopin.com/jobdetail/CC120116920J40957687904.htm?refcode=4019&srccode=401903&preactionid=2f9f8079-3248-418a-bf3f-a50d138a9018
酒旅目的地AI策略产品,http://www.zhaopin.com/jobdetail/CC383625320J40778449509.htm?refcode=4019&srccode=401903&preactionid=d0081f29-779d-4ed5-b3ef-cc83a8e44a79
AI 预训练数据源扩展工程师-数据采集,http://www.zhaopin.com/jobdetail/CC637366030J40743188306.htm?refcode=4019&srccode=401903&preactionid=d0081f29-779d-4ed5-b3ef-cc83a8e44a79
AI训练师/评估运营,http://www.zhaopin.com/jobdetail/CCL1480117890J40814872605.htm?refcode=4019&srccode=401903&preactionid=d0081f29-779d-4ed5-b3ef-cc83a8e44a79
AI搜索产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40811029509.htm?refcode=4019&srccode=401903&preactionid=d0081f29-779d-4ed5-b3ef-cc83a8e44a79
React前端开发工程师（AI产品）,http://www.zhaopin.com/jobdetail/CC138117190J40828033305.htm?refcode=4019&srccode=401903&preactionid=d0081f29-779d-4ed5-b3ef-cc83a8e44a79
大模型AI训练师-推理代码,http://www.zhaopin.com/jobdetail/CCL1480117890J40813123705.htm?refcode=4019&srccode=401903&preactionid=d0081f29-779d-4ed5-b3ef-cc83a8e44a79
AI体验设计师,http://www.zhaopin.com/jobdetail/CC383625320J40751168209.htm?refcode=4019&srccode=401903&preactionid=d0081f29-779d-4ed5-b3ef-cc83a8e44a79
